Input_name	Refmet	LipidlynxX	MetaboAnalyst
Cer_AS d44:1	Cer 44:1;O3	Cer(44:1;O3)	NA
Cer_NDS d18:0_16:0	Cer 18:0;O2/16:0	Cer(18:0;O2/16:0)	NA
Cer_NDS d18:0_18:0	Cer 18:0;O2/18:0	Cer(18:0;O2/18:0)	NA
Cer_NDS d18:0_24:0	Cer 18:0;O2/24:0	Cer(18:0;O2/24:0)	NA
Cer_NDS d25:0_18:2	Cer 25:0;O2/18:2	Cer(25:0;O2/18:2)	NA
Cer_NDS d34:1	Cer 34:1;O2	Cer(34:1;O2)	NA
Cer_NDS d35:1	Cer 35:1;O2	Cer(35:1;O2)	NA
Cer_NDS d36:1	Cer 36:1;O2	Cer(36:1;O2)	NA
Cer_NDS d38:0	Cer 38:0;O2	Cer(38:0;O2)	NA
Cer_NDS d39:1	Cer 39:1;O2	Cer(39:1;O2)	NA
Cer_NDS d40:1	Cer 40:1;O2	Cer(40:1;O2)	NA
Cer_NDS d41:1	Cer 41:1;O2	Cer(41:1;O2)	NA
Cer_NDS d41:2	Cer 41:2;O2	Cer(41:2;O2)	NA
Cer_NDS d42:0	Cer 42:0;O2	Cer(42:0;O2)	NA
Cer_NDS d42:1	Cer 42:1;O2	Cer(42:1;O2)	NA
Cer_NDS d42:2	Cer 42:2;O2	Cer(42:2;O2)	NA
Cer_NDS d43:0	Cer 43:0;O2	Cer(43:0;O2)	NA
Cer_NDS d43:1	Cer 43:1;O2	Cer(43:1;O2)	NA
Cer_NDS d44:0	Cer 44:0;O2	Cer(44:0;O2)	NA
Cer_NDS d44:1	Cer 44:1;O2	Cer(44:1;O2)	NA
Cer_NDS d44:2	Cer 44:2;O2	Cer(44:2;O2)	NA
Cer_NDS d45:0	Cer 45:0;O2	Cer(45:0;O2)	NA
Cer_NDS d46:0	Cer 46:0;O2	Cer(46:0;O2)	NA
Cer_NDS d46:1	Cer 46:1;O2	Cer(46:1;O2)	NA
Cer_NP t48:1	Cer 48:1;O3	Cer(48:1;O3)	NA
Cer_NS d16:1_16:0	Cer 16:1;O2/16:0	Cer(16:1;O2/16:0)	NA
Cer_NS d17:1_16:0	Cer 17:1;O2/16:0	Cer(17:1;O2/16:0)	NA
Cer_NS d18:1_16:0	Cer 18:1;O2/16:0	Cer(18:1;O2/16:0)	NA
Cer_NS d18:1_18:0	Cer 18:1;O2/18:0	Cer(18:1;O2/18:0)	NA
Cer_NS d18:1_22:0	Cer 18:1;O2/22:0	Cer(18:1;O2/22:0)	NA
Cer_NS d18:1_23:0	Cer 18:1;O2/23:0	Cer(18:1;O2/23:0)	NA
Cer_NS d18:1_24:0	Cer 18:1;O2/24:0	Cer(18:1;O2/24:0)	NA
Cer_NS d18:1_24:1	Cer 18:1;O2/24:1	Cer(18:1;O2/24:1)	NA
Cer_NS d18:1_25:0	Cer 18:1;O2/25:0	Cer(18:1;O2/25:0)	NA
Cer_NS d18:2_18:0	Cer 18:2;O2/18:0	Cer(18:2;O2/18:0)	NA
Cer_NS d18:2_23:0	Cer 18:2;O2/23:0	Cer(18:2;O2/23:0)	NA
Cer_NS d18:2_24:0	Cer 18:2;O2/24:0	Cer(18:2;O2/24:0)	NA
Cer_NS d18:2_24:1	Cer 18:2;O2/24:1	Cer(18:2;O2/24:1)	NA
Cer_NS d37:1	Cer 37:1;O2	Cer(37:1;O2)	NA
Cer_NS d42:3	Cer 42:3;O2	Cer(42:3;O2)	NA
Cer_NS d43:2	Cer 43:2;O2	Cer(43:2;O2)	NA
Cer_NS d44:1	Cer 44:1;O2	Cer(44:1;O2)	NA
Cer_NS d44:3	Cer 44:3;O2	Cer(44:3;O2)	NA
DG 18:0_18:1	DG 18:0_18:1	DG(18:0_18:1)	DG(18:0_18:1)
DG 18:1_18:1	DG 18:1_18:1	DG(18:1_18:1)	DG(18:1_18:1)
DG 18:1_18:2	DG 18:1_18:2	DG(18:1_18:2)	DG(18:1_18:2)
DG 18:2_18:2	DG 18:2_18:2	DG(18:2_18:2)	DG(18:2_18:2)
EtherOxPC 18:1e_20:3+1O	EtherOxPC 18:1e_20:3+1O	NA	NA
EtherPC 16:0e_16:0	PC O-16:0/16:0	PC(O-16:0/16:0)	PC(O-16:0/16:0)
EtherPC 16:0e_18:2	PC O-16:0/18:2	PC(O-16:0/18:2)	PC(O-16:0/18:2)
EtherPC 16:0e_20:3	PC O-16:0/20:3	PC(O-16:0/20:3)	PC(O-16:0/20:3)
EtherPC 16:0e_20:4	PC O-16:0/20:4	PC(O-16:0/20:4)	PC(o-16:0/20:4(8Z,11Z,14Z,17Z))
EtherPC 16:1e_16:0	PC O-16:1/16:0	PC(O-16:1/16:0)	NA
EtherPC 16:1e_18:1	PC O-16:1/18:1	PC(O-16:1/18:1)	NA
EtherPC 16:1e_18:2	PC O-16:1/18:2	PC(O-16:1/18:2)	PC(o-16:1(9Z)/18:2(9Z,12Z))
EtherPC 16:1e_20:3	PC O-16:1/20:3	PC(O-16:1/20:3)	NA
EtherPC 16:1e_20:4	PC O-16:1/20:4	PC(O-16:1/20:4)	PC(o-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))
EtherPC 16:1e_22:6	PC O-16:1/22:6	PC(O-16:1/22:6)	NA
EtherPC 18:0e_20:4	PC O-18:0/20:4	PC(O-18:0/20:4)	PC(o-18:0/20:4(8Z,11Z,14Z,17Z))
EtherPC 18:1e_16:0	PC O-18:1/16:0	PC(O-18:1/16:0)	PC(o-18:1(11Z)/16:0)
EtherPC 18:1e_18:1	PC O-18:1/18:1	PC(O-18:1/18:1)	NA
EtherPC 18:1e_20:4	PC O-18:1/20:4	PC(O-18:1/20:4)	PC(o-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))
EtherPC 18:1e_22:6	PC O-18:1/22:6	PC(O-18:1/22:6)	NA
EtherPC 18:2e_20:4	PC O-18:2/20:4	PC(O-18:2/20:4)	NA
EtherPC 18:2e_22:6	PC O-18:2/22:6	PC(O-18:2/22:6)	NA
EtherPC 38:5e	PC O-38:5	PC(O-38:5)	PC(O-16:0/22:5(7Z,10Z,13Z,16Z,19Z))
EtherPC 40:1e	PC O-40:1	PC(O-40:1)	PC(O-18:0/22:1(11Z))
EtherPC 42:3e	PC O-42:3	PC(O-42:3)	PC(P-20:0/22:2(13Z,16Z))
EtherPC 44:4e	PC O-44:4	PC(O-44:4)	PC(O-24:0/20:4(8Z,11Z,14Z,17Z))
EtherPC 44:5e	PC O-44:5	PC(O-44:5)	NA
EtherPC 44:6e	PC O-44:6	PC(O-44:6)	NA
EtherPC 46:5e	PC O-46:5	PC(O-46:5)	NA
EtherPE 16:1e_20:4	PE O-16:1/20:4	PE(O-16:1/20:4)	NA
EtherPE 16:1e_20:5	PE O-16:1/20:5	PE(O-16:1/20:5)	NA
EtherPE 16:1e_22:4	PE O-16:1/22:4	PE(O-16:1/22:4)	NA
EtherPE 16:1e_22:6	PE O-16:1/22:6	PE(O-16:1/22:6)	PE(O-16:1(1Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
EtherPE 18:0e_20:4	PE O-18:0/20:4	PE (O-18:0/20:4)	PE(O-18:0/20:4)
EtherPE 18:1e_18:1	PE O-18:1/18:1	PE(O-18:1/18:1)	NA
EtherPE 18:1e_18:2	PE O-18:1/18:2	PE(O-18:1/18:2)	NA
EtherPE 18:1e_20:3	PE O-18:1/20:3	PE(O-18:1/20:3)	NA
EtherPE 18:1e_20:4	PE O-18:1/20:4	PE(O-18:1/20:4)	PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))
EtherPE 18:1e_20:5	PE O-18:1/20:5	PE(O-18:1/20:5)	NA
EtherPE 18:1e_22:6	PE O-18:1/22:6	PE(O-18:1/22:6)	NA
EtherPE 18:2e_20:4	PE O-18:2/20:4	PE(O-18:2/20:4)	NA
EtherPE 18:2e_22:6	PE O-18:2/22:6	PE(O-18:2/22:6)	NA
FA 16:1	Hexadecenoic acid	FA16:1	Palmitolinoleic acid
FA 16:2	Hexadecadienoic acid	FA16:2	Hexadecadienoic acid
FA 16:4	Hexadecatetraenoic acid	FA16:4	Hexadecatetraenoic acid
FA 16:5	FA 16:5	FA16:5	11Z-Hexadecen-7,9-diynoic acid
FA 17:0	Margaric acid	FA17:0	Heptadecanoic acid
FA 17:1	Heptadecenoic acid	FA17:1	Heptadecenoic acid
FA 18:0	Stearic acid	FA18:0	Stearic acid
FA 18:1	Octadecenoic acid	FA18:1	Octadecenoic acid
FA 18:2	Linoleic acid	FA18:2	Linoleic acid
FA 19:0	Nonadecylic acid	FA19:0	Nonadecanoic acid
FA 19:1	Nonadecenoic acid	FA19:1	Nonadecenoic acid
FA 19:4	Nonadecatetraenoic acid	FA19:4	Nonadecatetraenoic acid
FA 20:0	Arachidic acid	FA20:0	Arachidic acid
FA 20:1	Eicosenoic acid	FA20:1	Eicosenoic acid
FA 20:2	Eicosadienoic acid	FA20:2	Eicosadienoic acid
FA 20:3	Eicosatrienoic acid	FA20:3	8,11,14-Eicosatrienoic acid
FA 20:4	Arachidonic acid	FA20:4	Arachidonic acid
FA 20:5	Eicosapentaenoic acid	FA20:5	Eicosapentaenoic acid
FA 20:6	FA 20:6	FA20:6	15-deoxy-delta-12,14-PGA2
FA 21:0	Heneicosylic acid	FA21:0	Heneicosanoic acid
FA 21:1	Heneicosenoic acid	FA21:1	Heneicosenoic acid
FA 22:0	Behenic acid	FA22:0	Behenic acid
FA 22:1	Docosenoic acid	FA22:1	Docosenoic acid
FA 22:2	Docosadienoic acid	FA22:2	Docosadienoic acid
FA 22:3	Docosatrienoic acid	FA22:3	Docosatrienoic acid
FA 22:4	Docosatetraenoic acid	FA22:4	Docosatetraenoic acid
FAHFA 14:0_12:0	FA-EST 14:0_12:0	FA-EST 14:0_12:0	NA
FAHFA 16:0_12:0	FA-EST 16:0_12:0	FA-EST 16:0_12:0	NA
FAHFA 16:0_2:0	FA-EST 16:0_2:0	FA-EST 16:0_2:0	NA
FAHFA 16:0_6:0	FA-EST 16:0_6:0	FA-EST 16:0_6:0	NA
FAHFA 16:0_9:0	FA-EST 16:0_9:0	FA-EST 16:0_9:0	NA
FAHFA 18:0_2:0	FA-EST 18:0_2:0	FA-EST 18:0_2:0	NA
FAHFA 18:0_3:0	FA-EST 18:0_3:0	FA-EST 18:0_3:0	NA
FAHFA 18:0_6:0	FA-EST 18:0_6:0	FA-EST 18:0_6:0	NA
FAHFA 18:0_9:0	FA-EST 18:0_9:0	FA-EST 18:0_9:0	NA
FAHFA 18:1_18:0	FA-EST 18:1_18:0	FA-EST 18:1_18:0	NA
FAHFA 2:0_18:0	FA-EST 2:0_18:0	FA-EST 2:0_18:0	NA
HexCer_NDS d24:0_18:1	HexCer 24:0;O2/18:1	HexCer(24:0;O2/18:1)	NA
HexCer_NDS d34:1	HexCer 34:1;O2	HexCer(34:1;O2)	NA
HexCer_NDS d38:1	HexCer 38:1;O2	HexCer(38:1;O2)	NA
HexCer_NDS d40:1	HexCer 40:1;O2	HexCer(40:1;O2)	NA
HexCer_NDS d42:1	HexCer 42:1;O2	HexCer(42:1;O2)	NA
HexCer_NS d41:2	HexCer 41:2;O2	HexCer(41:2;O2)	NA
HexCer_NS d42:2	HexCer 42:2;O2	HexCer(42:2;O2)	NA
HexCer_NS d42:3	HexCer 42:3;O2	HexCer(42:3;O2)	NA
LPC 0:0/16:0	LPC 0:0_16:0	LPC(0:0_16:0)	NA
LPC 0:0/18:0	LPC 0:0_18:0	LPC(0:0_18:0)	NA
LPC 0:0/18:1	LPC 0:0_18:1	LPC(0:0_18:1)	NA
LPC 0:0/18:2	LPC 0:0_18:2	LPC(0:0_18:2)	NA
LPC 14:0/0:0	LPC 14:0_0:0	LPC(14:0_0:0)	NA
LPC 15:0/0:0	LPC 15:0_0:0	LPC(15:0_0:0)	NA
LPC 16:0/0:0	LPC 16:0_0:0	LPC(16:0_0:0)	NA
LPC 16:1/0:0	LPC 16:1_0:0	LPC(16:1_0:0)	NA
LPC 17:0/0:0	LPC 17:0_0:0	LPC(17:0_0:0)	NA
LPC 18:0/0:0	LPC 18:0_0:0	LPC(18:0_0:0)	NA
LPC 18:1/0:0	LPC 18:1_0:0	LPC(18:1_0:0)	NA
LPC 18:2/0:0	LPC 18:2_0:0	LPC(18:2_0:0)	NA
LPC 19:0/0:0	LPC 19:0_0:0	LPC(19:0_0:0)	NA
LPC 20:0/0:0	LPC 20:0_0:0	LPC(20:0_0:0)	NA
LPC 20:3/0:0	LPC 20:3_0:0	LPC(20:3_0:0)	NA
LPC 20:5/0:0	LPC 20:5_0:0	LPC(20:5_0:0)	NA
LPC 22:6/0:0	LPC 22:6_0:0	LPC(22:6_0:0)	NA
LPE 16:0	LPE 16:0	LPE(16:0)	NA
LPE 18:0	LPE 18:0	LPE(18:0)	NA
LPE 18:1	LPE 18:1	LPE(18:1)	LPE(18:1(11Z))
MGDG 2:0_20:0	MGDG 2:0_20:0	MGDG(2:0_20:0)	NA
OxPC 18:1_18:3+1O	OxPC 18:1_18:3+1O		NA
OxPC 18:1_20:3+1O	OxPC 18:1_20:3+1O		NA
